country,total_tokens,ai_hit_count,ai_hit_unique,ai_hit_rate,ai_hit_unique_rate,hit_artificial_intelligence,hit_machine_learning,hit_deep_learning,hit_ai_related,hit_data_science,hit_digital_tech,hit_internet_platform
Switzerland,60,1,1,1.67,1.67,0,0,0,0,1,0,0
Australia,219,3,1,1.37,0.46,0,0,0,0,3,0,0
Brazil,283,3,3,1.06,1.06,2,0,0,0,1,0,0
Ethiopia,258,2,1,0.78,0.39,0,0,0,0,2,0,0
India,260,2,2,0.77,0.77,0,0,0,0,1,1,0
South Africa,139,1,1,0.72,0.72,0,0,0,0,0,1,0
United Kingdom,286,2,2,0.7,0.7,0,0,0,0,0,1,2
Indonesia,146,1,1,0.68,0.68,0,0,0,0,0,0,1
Thailand,212,1,1,0.47,0.47,0,0,0,0,1,0,0
Bangladesh,213,1,1,0.47,0.47,0,0,0,0,0,1,0
South Korea,262,1,1,0.38,0.38,0,0,0,0,0,1,0
Canada,406,1,1,0.25,0.25,0,0,0,0,1,0,0
United States,256,0,0,0.0,0.0,0,0,0,0,0,0,0
China,250,0,0,0.0,0.0,0,0,0,0,0,0,0
Japan,175,0,0,0.0,0.0,0,0,0,0,0,0,0
Germany,293,0,0,0.0,0.0,0,0,0,0,0,0,0
France,256,0,0,0.0,0.0,0,0,0,0,0,0,0
Italy,353,0,0,0.0,0.0,0,0,0,0,0,0,0
Russia,223,0,0,0.0,0.0,0,0,0,0,0,0,0
Mexico,246,0,0,0.0,0.0,0,0,0,0,0,0,0
Turkey,213,0,0,0.0,0.0,0,0,0,0,0,0,0
Netherlands,296,0,0,0.0,0.0,0,0,0,0,0,0,0
Saudi Arabia,101,0,0,0.0,0.0,0,0,0,0,0,0,0
Nigeria,130,0,0,0.0,0.0,0,0,0,0,0,0,0
Vietnam,144,0,0,0.0,0.0,0,0,0,0,0,0,0
Argentina,91,0,0,0.0,0.0,0,0,0,0,0,0,0
Egypt,191,0,0,0.0,0.0,0,0,0,0,0,0,0
Poland,159,0,0,0.0,0.0,0,0,0,0,0,0,0
Chile,204,0,0,0.0,0.0,0,0,0,0,0,0,0
Singapore,112,0,0,0.0,0.0,0,0,0,0,0,0,0
