iso3,country,year,growth_annual,gdp_pc,population
LBR,Liberia,1997,0.6462245802999904,673.9413286572421,2412989.0
GNQ,Equatorial Guinea,1997,0.6305009208889221,11561.239715092406,616893.0
LBN,Lebanon,1977,0.5928368440709182,11618.301227890905,2762155.0
MAC,"China, Macao SAR",2023,0.5464905796514259,56954.088222708124,713912.0
GUY,Guyana,2022,0.4831126737172404,33882.49949110739,821637.0
RWA,Rwanda,1995,0.4689829174111475,763.1390664207636,5674118.0
GNQ,Equatorial Guinea,2001,0.45360741719887976,26172.131826992838,749836.0
ZWE,Zimbabwe,2009,0.45300622802798696,1924.3338160599842,13142790.0
MRT,Mauritania,1964,0.417794269409721,4115.180457684967,1005006.9975732301
KWT,Kuwait,1992,0.4127949680610232,50346.38918757083,1634961.0
IRQ,Iraq,2004,0.4043010075175548,10875.884377325914,27577878.0
BIH,Bosnia and Herzegovina,1996,0.3909971298630017,4239.609885411145,3875246.0
IRQ,Iraq,1996,0.3711342241992277,7246.070049602999,21501321.0
GUY,Guyana,2020,0.3612499638907547,17581.107365064938,807481.0
LBN,Lebanon,1984,0.34947916052248296,12586.84423989071,3152744.0
IRQ,Iraq,1993,0.3478746203238252,6959.256800162699,19201195.0
GAB,Gabon,1974,0.3114293819938805,29930.360310703716,647691.0
LBN,Lebanon,1991,0.30323447530439296,10570.139091984218,3668912.0
SYR,Syrian Arab Republic,2012,-0.3005109993855086,12029.628779526394,22759763.0
AGO,Angola,1993,-0.30617472288185077,4067.93817851765,12827135.0
ABW,Aruba,2020,-0.30699301332032114,30201.01593415391,107400.0
KWT,Kuwait,1991,-0.3072470059592298,33319.137589083606,1351399.0
GEO,Georgia,1993,-0.3245528086477467,4020.039921323169,5178780.0
ALB,Albania,1991,-0.3299471586113505,3651.8699928250517,3282602.0
SRB,Serbia,1992,-0.3331901574088221,8262.558365132816,9899532.0
NIC,Nicaragua,1979,-0.3345676104736999,5958.469157100987,3164525.0
VEN,Venezuela (Bolivarian Republic of),2020,-0.3393493916125774,164.37968502084811,28444077.0
TCA,Turks and Caicos Islands,2020,-0.33961167803091463,11844.241559486662,44386.0
MDA,Republic of Moldova,1992,-0.3429662456172018,7146.483696008337,4455711.0
AIA,Anguilla,2020,-0.34516530047496374,16339.05129219686,14843.0
LBN,Lebanon,1988,-0.35161257035110616,11154.817889965088,3454649.0
TJK,Tajikistan,1992,-0.3618277452138585,3119.802752836584,5649400.0
SRB,Serbia,1993,-0.3651348923463278,5735.06667597894,9922389.0
LBR,Liberia,2003,-0.36671716216334094,792.8506577418921,3119532.0
MDA,Republic of Moldova,1994,-0.366789279612286,4902.5218827574345,4434456.0
LBN,Lebanon,1975,-0.3827932667666367,15117.428022650454,2693191.0
LVA,Latvia,1992,-0.4156519723884493,10720.610203131986,2614827.0
MDV,Maldives,2020,-0.4281888138709835,14692.726454488788,502117.99999999994
IRQ,Iraq,2003,-0.43214356273654175,7259.034915155246,26802659.0
LBR,Liberia,1993,-0.4392228595098304,435.59130667563056,2155126.0
MNE,Montenegro,1993,-0.45791939358632483,7974.635131663162,628099.0
CAF,Central African Republic,2013,-0.45925436446254597,1028.503384193402,4642419.0
DZA,Algeria,1962,-0.459465124856278,4778.898660207883,10883983.282193601
LBN,Lebanon,1982,-0.47384451742587785,7326.885896727292,3054931.0
YEM,Yemen,2015,-0.4775866526388759,1479.2187951659755,31159379.0
LBR,Liberia,1992,-0.4896723052394947,675.8203547014878,2072461.0
RWA,Rwanda,1994,-0.5083893289422203,477.44900573238544,6792352.0
IRN,Iran (Islamic Republic of),1970,-0.5264174827405572,12893.642499082178,29145100.0
ARM,Armenia,1992,-0.5288134676100622,3282.401316848556,3571861.0
LBN,Lebanon,1989,-0.572775925700034,6290.846099145176,3525285.0
GEO,Georgia,1992,-0.5728464612177149,5561.370896041262,5294187.0
LBR,Liberia,1990,-0.5897291166359651,1131.221628543361,2223667.0
SSD,South Sudan,2012,-0.76458539343417,569.401313795527,10756240.0
MAC,"China, Macao SAR",2020,-0.801725942097713,34238.66580346438,683067.0
LBN,Lebanon,1976,-0.8561035491076314,6422.097019074855,2726469.0
IRQ,Iraq,1991,-1.0928694379474795,4029.2648925526078,17767253.0
