iso3,country,year,growth_annual,wdi_gdp_growth_annual_pct,maddison_growth_annual,wdi_growth_decimal,abs_diff_maddison,abs_diff_wdi
KHM,Cambodia,1973,-0.2198477977885842,,0.2976862115860559,,0.5175340093746401,
AGO,Angola,1975,-0.08541882606234807,,-0.4667087333488835,,0.38128990728653545,
GNB,Guinea-Bissau,1970,-0.2710695778806249,,0.045462374076756795,,0.3165319519573817,
CYP,Cyprus,1974,0.06110866428405082,,-0.19624336774004014,,0.25735203202409096,
GNB,Guinea-Bissau,1966,-0.1805370037229137,,0.06014190572457068,,0.24067890944748438,
MRT,Mauritania,1961,-0.0898708876425296,,0.1445601653151991,,0.2344310529577287,
MLI,Mali,1964,-0.1901780124685848,,0.025086834429735028,,0.21526484689831982,
GMB,Gambia,1961,-0.08956119518181094,,0.12167908277589667,,0.2112402779577076,
CPV,Cabo Verde,1962,-0.14591208456483784,,0.028573372444055778,,0.17448545700889362,
NGA,Nigeria,1960,0.18874798575527585,,0.0146438069599224,,0.17410417879535345,
YEM,Yemen,1990,0.13814755251270583,,-0.03499611163852734,,0.17314366415123317,
MOZ,Mozambique,1975,-0.011841674084324794,,-0.18172560921970238,,0.16988393513537758,
CPV,Cabo Verde,1963,-0.1356242487223822,,0.024551151294955886,,0.1601754000173381,
GNQ,Equatorial Guinea,1965,-0.0341706280955254,,0.11607217125275415,,0.15024279934827955,
MAR,Morocco,1961,0.1594613975030672,,0.009398565423638594,,0.1500628320794286,
NZL,New Zealand,1960,0.12997533024957342,,-0.017282028175268138,,0.14725735842484156,
CPV,Cabo Verde,1966,0.1615315841805014,,0.01772686111233579,,0.1438047230681656,
KHM,Cambodia,1975,0.0166246258787357,,-0.1257988708838722,,0.1424234967626079,
GMB,Gambia,1966,-0.020359536811509038,,0.1216740911493499,,0.14203362796085894,
GIN,Guinea,1964,-0.09494499201283446,,0.04400994099644251,,0.13895493300927697,
MOZ,Mozambique,1974,0.029723574347400472,,-0.10662648000756203,,0.1363500543549625,
GNQ,Equatorial Guinea,1975,0.08790861748363099,,0.22233219224333034,,0.13442357475969935,
MUS,Mauritius,1960,-0.09301285312120555,,0.03354078716472131,,0.12655364028592686,
GIN,Guinea,1970,-0.11227274385856578,,0.01393309430392442,,0.1262058381624902,
